DATE,CCUSMA02INQ618N
2010-01-01,45.9280666666667
2010-04-01,45.6251818181818
2010-07-01,46.4875
2010-10-01,44.8625
2011-01-01,45.2736
2011-04-01,44.7082333333333
2011-07-01,45.7774666666667
2011-10-01,50.9225666666667
2012-01-01,50.2775333333333
2012-04-01,54.1022
2012-07-01,55.2200333333333
2012-10-01,54.1491666666667
2013-01-01,54.1650333333333
2013-04-01,55.9279333333333
2013-07-01,62.2454483333333
2013-10-01,62.0529666666667
2014-01-01,61.7813333333333
2014-04-01,59.7974411764706
2014-07-01,60.6062333333333
2014-10-01,61.93305
2015-01-01,62.2377925925926
2015-04-01,63.471407930179
2015-07-01,64.9750394202899
2015-10-01,65.9235379100529
2016-01-01,67.5039483333334
2016-04-01,66.8910422348485
2016-07-01,66.961665952381
2016-10-01,67.4245947089947
2017-01-01,67.0108246031746
2017-04-01,64.4583058201058
2017-07-01,64.2884045238096
2017-10-01,64.7287396331738
2018-01-01,64.3440219741273
2018-04-01,66.9895910416959
2018-07-01,70.1517174747475
2018-10-01,72.0725378835979
2019-01-01,70.477761784897
2019-04-01,69.5464638135743
2019-07-01,70.4292208352403
2019-10-01,71.2279157101086
2020-01-01,72.3843330917875
2020-04-01,75.8744007922361
2020-07-01,74.3823520076542
2020-10-01,73.7571816427432
2021-01-01,72.8862193859649
2021-04-01,73.7660709869594
2021-07-01,74.0916553968254
2021-10-01,74.9281054919908
