DATE,CCUSMA02EZQ618N
2010-01-01,0.722664285714286
2010-04-01,0.78697619047619
2010-07-01,0.773787878787879
2010-10-01,0.736745718050066
2011-01-01,0.731408247066943
2011-04-01,0.69478354978355
2011-07-01,0.708233264320221
2011-10-01,0.742209956709957
2012-01-01,0.762537518037518
2012-04-01,0.779816425120773
2012-07-01,0.799138274044796
2012-10-01,0.770532624380451
2013-01-01,0.757865873015873
2013-04-01,0.765691004329004
2013-07-01,0.754941272978229
2013-10-01,0.73469248290357
2014-01-01,0.729664746721877
2014-04-01,0.729257503607504
2014-07-01,0.754988833992094
2014-10-01,0.80086947826087
2015-01-01,0.888312818181818
2015-04-01,0.904120108225108
2015-07-01,0.899525335654683
2015-10-01,0.913848313570487
2016-01-01,0.907330710835059
2016-04-01,0.885569054834055
2016-07-01,0.896160021645022
2016-10-01,0.92806632034632
2017-01-01,0.938476221343874
2017-04-01,0.909275285243742
2017-07-01,0.851432953761214
2017-10-01,0.849244235209235
2018-01-01,0.813750682476943
2018-04-01,0.839484382332643
2018-07-01,0.859573256916996
2018-10-01,0.876489618859401
2019-01-01,0.880772062801932
2019-04-01,0.889747067852437
2019-07-01,0.899665686053077
2019-10-01,0.903208668046929
2020-01-01,0.907842687747036
2020-04-01,0.908271645021645
2020-07-01,0.855181145931364
2020-10-01,0.838870803061673
2021-01-01,0.829643907522429
2021-04-01,0.82966183982684
2021-07-01,0.848374696969697
2021-10-01,0.874533126607692
